
STATISTICS FOR OG
cattle_4770: 11 Images
cattle_4775: 15 Images
cattle_4776: 25 Images
cattle_4804: 15 Images
cattle_4819: 18 Images
cattle_4820: 38 Images
cattle_4833: 26 Images
cattle_4839: 26 Images
cattle_4840: 16 Images
cattle_4895: 24 Images
cattle_4915: 30 Images
cattle_4921: 14 Images
cattle_4947: 15 Images
cattle_4951: 39 Images
cattle_4969: 12 Images
cattle_4971: 11 Images
cattle_4984: 24 Images
cattle_4985: 11 Images
cattle_4986: 26 Images
cattle_4995: 6 Images
cattle_5009: 17 Images
cattle_5026: 23 Images
cattle_5028: 21 Images
cattle_5066: 14 Images
cattle_5073: 14 Images
cattle_5077: 16 Images
cattle_5083: 29 Images
cattle_5090: 18 Images
cattle_5097: 25 Images
cattle_5100: 8 Images
cattle_5112: 14 Images
cattle_5132: 30 Images
cattle_5133: 12 Images
cattle_5138: 11 Images
cattle_5143: 9 Images
cattle_5153: 5 Images
cattle_5164: 32 Images
cattle_5165: 10 Images
cattle_5170: 40 Images
cattle_5171: 20 Images
cattle_5197: 14 Images
cattle_5207: 18 Images
cattle_5208: 4 Images
cattle_5215: 48 Images
cattle_5224: 28 Images
cattle_5234: 8 Images
cattle_5235: 24 Images
cattle_5249: 24 Images
cattle_5273: 18 Images
cattle_5275: 14 Images
cattle_5282: 6 Images
cattle_5283: 14 Images
cattle_5297: 32 Images
cattle_5298: 25 Images
cattle_5307: 10 Images
cattle_5314: 13 Images
cattle_5325: 36 Images
cattle_5355: 4 Images
cattle_5359: 10 Images
cattle_5360: 35 Images
cattle_5362: 18 Images
cattle_5373: 27 Images
cattle_5374: 27 Images
cattle_5403: 26 Images
cattle_5404: 22 Images
cattle_5407: 40 Images
cattle_5408: 18 Images
cattle_5410: 20 Images
cattle_5411: 31 Images
cattle_5425: 26 Images
cattle_5427: 13 Images
cattle_5432: 19 Images
cattle_5477: 9 Images
cattle_5507: 25 Images
cattle_5508: 25 Images
cattle_5509: 22 Images
cattle_5519: 25 Images
cattle_5529: 29 Images
cattle_5537: 37 Images
cattle_5556: 8 Images
cattle_5559: 21 Images
cattle_5581: 29 Images
cattle_5604: 14 Images
cattle_5605: 14 Images
cattle_5620: 12 Images
cattle_5630: 4 Images
cattle_5633: 13 Images
cattle_5634: 13 Images
cattle_5639: 12 Images
cattle_5654: 53 Images
cattle_5658: 12 Images
cattle_5670: 16 Images
cattle_5677: 12 Images
cattle_5695: 20 Images
cattle_5697: 31 Images
cattle_5717: 16 Images
cattle_5745: 15 Images
cattle_5761: 10 Images
cattle_5762: 7 Images
cattle_5774: 16 Images
cattle_5777: 12 Images
cattle_5781: 27 Images
cattle_5784: 16 Images
cattle_5803: 15 Images
cattle_5804: 26 Images
cattle_5806: 14 Images
cattle_5809: 24 Images
cattle_5815: 14 Images
cattle_5816: 9 Images
cattle_5836: 22 Images
cattle_5844: 30 Images
cattle_5886: 25 Images
cattle_5925: 4 Images
cattle_5932: 38 Images
cattle_5953: 30 Images
cattle_5971: 45 Images
cattle_5986: 5 Images
cattle_6011: 32 Images
cattle_6012: 19 Images
cattle_6017: 12 Images
cattle_6022: 8 Images
cattle_6038: 22 Images
cattle_6066: 50 Images
cattle_6071: 26 Images
cattle_6084: 36 Images
cattle_6098: 20 Images
cattle_6124: 10 Images
cattle_6161: 18 Images
cattle_6167: 21 Images
cattle_6171: 12 Images
cattle_6184: 16 Images
cattle_6189: 12 Images
cattle_6191: 18 Images
cattle_6196: 17 Images
cattle_6197: 12 Images
cattle_6199: 14 Images
cattle_6210: 10 Images
cattle_6213: 12 Images
cattle_6216: 18 Images
cattle_6220: 12 Images
cattle_6226: 15 Images
cattle_6237: 6 Images
cattle_6253: 8 Images
cattle_6266: 10 Images
cattle_6276: 15 Images
cattle_6277: 12 Images
cattle_6278: 13 Images
cattle_6282: 12 Images
cattle_6283: 5 Images
cattle_6287: 14 Images
cattle_6294: 10 Images
cattle_6295: 10 Images
cattle_6313: 34 Images
cattle_6331: 32 Images
cattle_6333: 54 Images
cattle_6442: 13 Images
cattle_6446: 8 Images
cattle_6458: 10 Images
cattle_6479: 15 Images
cattle_6499: 9 Images
cattle_6505: 14 Images
cattle_6506: 18 Images
cattle_6530: 10 Images
cattle_6606: 12 Images
cattle_8050: 4 Images
cattle_8094: 10 Images
cattle_8095: 8 Images
cattle_9021: 10 Images
cattle_9029: 29 Images
cattle_9634: 31 Images
cattle_9635: 8 Images
cattle_9736: 18 Images
cattle_9742: 19 Images
cattle_9773: 10 Images
cattle_9798: 42 Images
cattle_9801: 10 Images
